code	longitude	latitude	country	ourairports_id	ourairports_ident	ourairports_iata	ourairports_type	openflights_airport_id	openflights_route_id
BTS	17.2127	48.1702	SVK	4617	LZIB	BTS	large_airport	1745	1745
LJU	14.4576	46.2237	SVN	4386	LJLJ	LJU	large_airport	1569	1569
ARN	17.9186	59.6519	SWE	2701	ESSA	ARN	large_airport	737	737
NDJ	15.0340	12.1337	TCD	2998	FTTJ	NDJ	large_airport	999	999
LFW	1.2545	6.1656	TGO	2144	DXXX	LFW	large_airport	298	298
DYU	68.8250	38.5433	TJK	26385	UTDD	DYU	large_airport	2979	2979
ASB	58.3610	37.9868	TKM	26380	UTAA	ASB	large_airport	2976	2976
POS	-61.3372	10.5954	TTO	6410	TTPP	POS	large_airport	2902	2902
TPE	121.2330	25.0777	TWN	5528	RCTP	TPE	large_airport	2276	2276
EBB	32.4435	0.0424	UGA	3263	HUEN	EBB	large_airport	1187	1187
MVD	-56.0308	-34.8384	URY	6247	SUMU	MVD	large_airport	2816	2816
CLT	-80.9431	35.2140	USA	3457	KCLT	CLT	large_airport	3876	3876
DEN	-104.6730	39.8617	USA	3486	KDEN	DEN	large_airport	3751	3751
EWR	-74.1687	40.6925	USA	3521	KEWR	EWR	large_airport	3494	3494
IAH	-95.3414	29.9844	USA	3604	KIAH	IAH	large_airport	3550	3550
LAS	-115.1520	36.0801	USA	3631	KLAS	LAS	large_airport	3877	3877
PHL	-75.2411	39.8719	USA	3771	KPHL	PHL	large_airport	3752	3752
PHX	-112.0120	33.4343	USA	3772	KPHX	PHX	large_airport	3462	3462
TAS	69.2812	41.2579	UZB	26392	UTTT	TAS	large_airport	2983	2983
CCS	-66.9912	10.6012	VEN	6300	SVMI	CCS	large_airport	2851	2851
VLI	168.3200	-17.6993	VUT	5011	NVVV	VLI	large_airport	1997	1997
SAH	44.2197	15.4763	YEM	5318	OYSN	SAH	large_airport	3980	3980
LUN	28.4526	-15.3308	ZMB	2894	FLLS	LUN	large_airport	907	907
HRE	31.0928	-17.9318	ZWE	3005	FVHA	HRE	large_airport	1005	1005
