source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
CMB	SIN	0	international	OpenSky-2020-01	259	0.6615	2020-01-01 00:52:09+00:00	ALK	VCBI	WSSS	CX	3024	3316
TLV	CDG	0	international	OpenSky-2020-01	258	0.6610	2019-12-31 23:13:47+00:00	AFR	LLBG	LFPG			
FRA	PRG	0	international	OpenSky-2020-01	258	0.6610	2020-01-01 07:44:40+00:00	DLH	EDDF	LKPR			
YYZ	SFO	0	international	OpenSky-2020-01	258	0.6610	2019-12-31 21:02:47+00:00	ACA	CYYZ	KSFO			
DUS	CDG	0	international	OpenSky-2020-01	257	0.6606	2020-01-01 06:19:29+00:00	EWG	EDDL	LFPG			
FRA	ORD	0	international	OpenSky-2020-01	255	0.6596	2020-01-01 00:26:25+00:00	DLH	EDDF	KORD			
BCN	FCO	0	international	OpenSky-2020-01	254	0.6592	2020-01-01 06:36:52+00:00	VLG	LEBL	LIRF			
LAX	YYZ	0	international	OpenSky-2020-01	254	0.6592	2019-12-31 20:55:57+00:00	ACA	KLAX	CYYZ			
LHR	ATH	0	international	OpenSky-2020-01	253	0.6587	2019-12-31 22:23:06+00:00	BAW	EGLL	LGAV			
CHC	PMR	0	domestic	OpenSky-2020-01	253	0.6587	2020-01-05 05:47:31+00:00	NZM	NZCH	NZPM			
BRU	FCO	0	international	OpenSky-2020-01	252	0.6582	2020-01-01 06:03:13+00:00	AZA	EBBR	LIRF			
VIE	CPH	0	international	OpenSky-2020-01	252	0.6582	2020-01-01 06:15:10+00:00	AUA	LOWW	EKCH			
SZX	KUL	0	international	OpenSky-2020-01	252	0.6582	2019-12-31 22:38:13+00:00	AXM	ZGSZ	WMKK			
MIA	LAS	0	domestic	OpenSky-2020-01	252	0.6582	2019-12-31 20:43:56+00:00	AAL	KMIA	KLAS			
